timestamp,option,implementation,n,block_size,threads,run,time_s,gflops,joules,watts,exit_code,error
2026-05-31T23:18:34,2,block,4096,64,,3,5.0063,9.15107,147.4706,29.457023,0,
2026-05-31T23:18:40,2,block,4096,128,,1,5.03089,9.10635,152.071131,30.227505,0,
2026-05-31T23:18:47,2,block,4096,128,,2,5.1352,8.92137,189.69867,36.940882,0,
2026-05-31T23:18:53,2,block,4096,128,,3,5.1627,8.87384,192.008136,37.191403,0,
2026-05-31T23:19:06,2,block,5120,32,,1,10.1912,8.77999,381.02534,37.387729,0,
2026-05-31T23:19:18,2,block,5120,32,,2,9.91714,9.02261,319.111687,32.177781,0,
2026-05-31T23:19:30,2,block,5120,32,,3,10.0026,8.94555,332.129919,33.204455,0,
2026-05-31T23:19:42,2,block,5120,64,,1,9.53187,9.38729,276.443818,29.002042,0,
2026-05-31T23:19:54,2,block,5120,64,,2,9.65378,9.26875,290.485389,30.09032,0,
2026-05-31T23:20:05,2,block,5120,64,,3,9.39697,9.52206,264.901049,28.190058,0,
2026-05-31T23:20:17,2,block,5120,128,,1,9.69971,9.22486,299.728701,30.900799,0,
2026-05-31T23:20:28,2,block,5120,128,,2,9.21571,9.70934,242.392158,26.302054,0,
2026-05-31T23:20:40,2,block,5120,128,,3,9.46262,9.45599,278.901364,29.474008,0,
2026-05-31T23:21:00,2,block,6144,32,,1,16.4704,9.38767,504.148794,30.609353,0,
2026-05-31T23:21:19,2,block,6144,32,,2,16.7181,9.24856,507.718998,30.369343,0,
2026-05-31T23:21:39,2,block,6144,32,,3,16.4877,9.3778,495.195582,30.034166,0,
2026-05-31T23:21:58,2,block,6144,64,,1,15.6128,9.90332,407.169923,26.079204,0,
2026-05-31T23:22:16,2,block,6144,64,,2,15.6577,9.87493,423.862938,27.070549,0,
2026-05-31T23:22:35,2,block,6144,64,,3,15.6538,9.87742,421.020738,26.895815,0,
2026-05-31T23:22:53,2,block,6144,128,,1,15.5447,9.94674,413.35637,26.591512,0,
2026-05-31T23:23:12,2,block,6144,128,,2,15.5137,9.9666,411.843174,26.547065,0,
2026-05-31T23:23:30,2,block,6144,128,,3,15.4753,9.9913,410.775723,26.543887,0,
2026-05-31T23:23:59,2,block,7168,32,,1,24.7767,9.90965,664.191069,26.807036,0,
2026-05-31T23:24:28,2,block,7168,32,,2,24.7421,9.92355,664.698627,26.865139,0,
2026-05-31T23:24:57,2,block,7168,32,,3,24.773,9.91114,666.112846,26.888641,0,
2026-05-31T23:25:25,2,block,7168,64,,1,24.3423,10.0865,645.64755,26.523736,0,
2026-05-31T23:25:54,2,block,7168,64,,2,24.8096,9.89655,695.974995,28.052694,0,
2026-05-31T23:26:23,2,block,7168,64,,3,24.4004,10.0625,661.942513,27.128356,0,
2026-05-31T23:26:51,2,block,7168,128,,1,24.375,10.073,652.122511,26.753717,0,
2026-05-31T23:27:20,2,block,7168,128,,2,24.4316,10.0497,640.354229,26.210099,0,
2026-05-31T23:27:48,2,block,7168,128,,3,24.374,10.0734,650.938672,26.706219,0,
2026-05-31T23:28:30,2,block,8192,32,,1,37.2017,9.8518,1010.818057,27.17128,0,
2026-05-31T23:29:14,2,block,8192,32,,2,38.2771,9.57501,1144.150868,29.891237,0,
2026-05-31T23:29:58,2,block,8192,32,,3,38.1729,9.60115,1114.548364,29.197356,0,
2026-05-31T23:30:40,2,block,8192,64,,1,37.2222,9.84639,1040.987394,27.966872,0,
2026-05-31T23:31:24,2,block,8192,64,,2,38.5883,9.4978,1166.908633,30.239964,0,
2026-05-31T23:32:09,2,block,8192,64,,3,38.9048,9.42053,1168.279183,30.029188,0,
2026-05-31T23:32:52,2,block,8192,128,,1,37.9999,9.64487,1007.585618,26.515506,0,
2026-05-31T23:33:38,2,block,8192,128,,2,39.8838,9.18929,1166.352281,29.243767,0,
2026-05-31T23:34:23,2,block,8192,128,,3,40.435,9.06404,1214.54687,30.037056,0,
2026-05-31T23:34:24,3,openmp,1024,64,4,1,0.123755,5.78424,5.961667,48.173149,0,
2026-05-31T23:34:24,3,openmp,1024,64,4,2,0.122722,5.83293,5.304597,43.224531,0,
2026-05-31T23:34:24,3,openmp,1024,64,4,3,0.126408,5.66283,5.607132,44.357379,0,
2026-05-31T23:34:24,3,openmp,1024,64,8,1,0.0923109,7.75453,6.089529,65.967601,0,
2026-05-31T23:34:24,3,openmp,1024,64,8,2,0.088232,8.11302,5.528401,62.657522,0,
2026-05-31T23:34:25,3,openmp,1024,64,8,3,0.0757,9.45611,4.880424,64.470556,0,
2026-05-31T23:34:25,3,openmp,1024,64,16,1,0.187555,3.81663,10.822453,57.702874,0,
2026-05-31T23:34:25,3,openmp,1024,64,16,2,0.0989802,7.23203,5.846911,59.071528,0,
2026-05-31T23:34:25,3,openmp,1024,64,16,3,0.148245,4.82868,8.143789,54.934627,0,
2026-05-31T23:34:26,3,openmp,2048,64,4,1,0.59101,9.68956,24.338127,41.180577,0,
2026-05-31T23:34:27,3,openmp,2048,64,4,2,0.593465,9.64947,24.711613,41.639556,0,
2026-05-31T23:34:28,3,openmp,2048,64,4,3,0.611101,9.37099,27.041189,44.24994,0,
2026-05-31T23:34:29,3,openmp,2048,64,8,1,0.351076,16.3116,19.814192,56.438487,0,
2026-05-31T23:34:30,3,openmp,2048,64,8,2,0.39426,14.525,21.521882,54.588053,0,
2026-05-31T23:34:30,3,openmp,2048,64,8,3,0.360822,15.871,19.845867,55.001827,0,
2026-05-31T23:34:31,3,openmp,2048,64,16,1,0.448565,12.7665,23.951947,53.396825,0,
2026-05-31T23:34:32,3,openmp,2048,64,16,2,0.412801,13.8726,22.019948,53.342765,0,
2026-05-31T23:34:33,3,openmp,2048,64,16,3,0.518384,11.0471,27.164947,52.403138,0,
2026-05-31T23:34:35,3,openmp,3072,64,4,1,1.57241,12.2916,61.564382,39.15298,0,
2026-05-31T23:34:38,3,openmp,3072,64,4,2,1.55149,12.4573,58.387987,37.633589,0,
2026-05-31T23:34:40,3,openmp,3072,64,4,3,1.5495,12.4733,59.242481,38.233266,0,
2026-05-31T23:34:42,3,openmp,3072,64,8,1,0.891267,21.6853,47.975364,53.828284,0,
2026-05-31T23:34:43,3,openmp,3072,64,8,2,0.890002,21.7161,47.566342,53.445207,0,
2026-05-31T23:34:45,3,openmp,3072,64,8,3,0.929827,20.786,49.213779,52.927889,0,
2026-05-31T23:34:47,3,openmp,3072,64,16,1,1.1854,16.3045,58.761259,49.570917,0,
2026-05-31T23:34:49,3,openmp,3072,64,16,2,0.997575,19.3743,51.252247,51.376834,0,
2026-05-31T23:34:51,3,openmp,3072,64,16,3,1.03751,18.6286,52.084648,50.201729,0,
2026-05-31T23:34:55,3,openmp,4096,64,4,1,3.16532,14.4734,116.453145,36.790346,0,
2026-05-31T23:35:00,3,openmp,4096,64,4,2,3.1501,14.5433,114.468018,36.337864,0,
2026-05-31T23:35:04,3,openmp,4096,64,4,3,3.11211,14.7209,111.932901,35.966883,0,
2026-05-31T23:35:08,3,openmp,4096,64,8,1,1.81808,25.1986,92.629594,50.949245,0,
2026-05-31T23:35:11,3,openmp,4096,64,8,2,1.79232,25.5608,91.872629,51.259136,0,
2026-05-31T23:35:14,3,openmp,4096,64,8,3,1.75191,26.1503,88.737736,50.651989,0,
2026-05-31T23:35:17,3,openmp,4096,64,16,1,1.97303,23.2196,96.859355,49.091629,0,
2026-05-31T23:35:21,3,openmp,4096,64,16,2,2.07003,22.1315,100.500753,48.550268,0,
2026-05-31T23:35:24,3,openmp,4096,64,16,3,1.81136,25.292,88.865003,49.059692,0,
2026-05-31T23:35:32,3,openmp,5120,64,4,1,5.44983,16.4186,193.286162,35.466475,0,
2026-05-31T23:35:39,3,openmp,5120,64,4,2,5.5273,16.1885,209.71207,37.94114,0,
2026-05-31T23:35:47,3,openmp,5120,64,4,3,5.58589,16.0187,228.036883,40.823726,0,
2026-05-31T23:35:52,3,openmp,5120,64,8,1,3.17177,28.2109,160.327753,50.548368,0,
2026-05-31T23:35:58,3,openmp,5120,64,8,2,3.47567,25.7443,178.317912,51.30466,0,
2026-05-31T23:36:04,3,openmp,5120,64,8,3,3.47025,25.7845,173.948661,50.125756,0,
2026-05-31T23:36:14,3,openmp,5120,64,16,1,4.52745,11.887,342.836671,45.544874,0,
2026-05-31T23:36:24,3,openmp,5120,64,16,2,3.17276,10.9484,363.676811,44.498674,0,
2026-05-31T23:36:34,3,openmp,5120,64,16,3,3.65021,11.6962,269.725889,35.2573,0,
2026-05-31T23:36:47,3,openmp,6144,64,4,1,9.68919,15.9579,344.295992,35.53404,0,
2026-05-31T23:37:00,3,openmp,6144,64,4,2,9.37591,16.4911,328.165387,35.000902,0,
2026-05-31T23:37:12,3,openmp,6144,64,4,3,8.83552,17.4997,311.444968,35.249195,0,
2026-05-31T23:37:20,3,openmp,6144,64,8,1,5.40923,28.5843,210.797266,38.969928,0,
2026-05-31T23:37:29,3,openmp,6144,64,8,2,5.61301,27.5465,216.998025,38.659852,0,
2026-05-31T23:37:38,3,openmp,6144,64,8,3,5.63826,27.4231,214.60525,38.062299,0,
2026-05-31T23:37:46,3,openmp,6144,64,16,1,5.29052,29.2257,206.37481,39.008445,0,
2026-05-31T23:37:55,3,openmp,6144,64,16,2,5.33121,29.0026,203.655209,38.200568,0,
2026-05-31T23:38:03,3,openmp,6144,64,16,3,5.38906,28.6913,209.318246,38.84135,0,
2026-05-31T23:38:21,3,openmp,7168,64,4,1,13.4414,18.2666,487.785443,36.289794,0,
2026-05-31T23:38:38,3,openmp,7168,64,4,2,13.0657,18.7919,471.695547,36.101828,0,
2026-05-31T23:38:55,3,openmp,7168,64,4,3,13.1643,18.6511,479.465729,36.421596,0,
2026-05-31T23:39:08,3,openmp,7168,64,8,1,8.22153,29.8641,310.91724,37.817433,0,
2026-05-31T23:39:20,3,openmp,7168,64,8,2,8.14106,30.1593,308.696286,37.918434,0,
2026-05-31T23:39:33,3,openmp,7168,64,8,3,8.28052,29.6514,313.767908,37.892291,0,
2026-05-31T23:39:46,3,openmp,7168,64,16,1,8.62302,28.4737,323.573308,37.524359,0,
2026-05-31T23:39:58,3,openmp,7168,64,16,2,8.53201,28.7774,323.405273,37.904956,0,
2026-05-31T23:40:12,3,openmp,7168,64,16,3,8.86842,27.6858,332.513703,37.494144,0,
2026-05-31T23:40:36,3,openmp,8192,64,4,1,18.9281,19.3629,683.085738,36.088409,0,
2026-05-31T23:41:01,3,openmp,8192,64,4,2,19.5364,18.76,704.096126,36.040196,0,
2026-05-31T23:41:26,3,openmp,8192,64,4,3,18.9921,19.2977,685.030446,36.069163,0,
2026-05-31T23:41:43,3,openmp,8192,64,8,1,11.7661,31.1492,434.683224,36.943762,0,
2026-05-31T23:42:00,3,openmp,8192,64,8,2,12.054,30.4053,446.390794,37.032693,0,
2026-05-31T23:42:19,3,openmp,8192,64,8,3,12.6869,28.8885,469.253199,36.987331,0,
2026-05-31T23:42:38,3,openmp,8192,64,16,1,14.1147,25.9661,511.020494,36.204766,0,
2026-05-31T23:42:56,3,openmp,8192,64,16,2,12.1802,30.0901,453.930215,37.267848,0,
2026-05-31T23:43:13,3,openmp,8192,64,16,3,11.3748,32.2208,424.244067,37.296982,0,
2026-05-31T23:49:48,4,sycl_basic,1024,32,,1,0.280977,2.54764,6.796889,24.190196,0,
2026-05-31T23:49:49,4,sycl_basic,1024,32,,2,0.045599,15.6983,1.302621,28.566887,0,
2026-05-31T23:49:49,4,sycl_basic,1024,32,,3,0.0454781,15.7401,1.051719,23.125831,0,
2026-05-31T23:49:50,4,sycl_basic,1024,64,,1,0.0455959,15.6994,1.199019,26.29665,0,
2026-05-31T23:49:51,4,sycl_basic,1024,64,,2,0.0455241,15.7241,1.230908,27.038589,0,
2026-05-31T23:49:51,4,sycl_basic,1024,64,,3,0.0455132,15.7279,1.206511,26.509062,0,
2026-05-31T23:49:52,4,sycl_basic,1024,128,,1,0.0455799,15.7049,1.193374,26.182017,0,
2026-05-31T23:49:52,4,sycl_basic,1024,128,,2,0.0460608,15.5409,1.225187,26.599342,0,
2026-05-31T23:49:53,4,sycl_basic,1024,128,,3,0.0454631,15.7453,1.247448,27.438701,0,
2026-05-31T23:49:54,4,sycl_basic,2048,32,,1,0.296713,19.3002,6.096624,20.547201,0,
2026-05-31T23:49:55,4,sycl_basic,2048,32,,2,0.293336,19.5224,6.291133,21.446838,0,
2026-05-31T23:49:56,4,sycl_basic,2048,32,,3,0.292022,19.6102,6.982488,23.910829,0,
2026-05-31T23:49:57,4,sycl_basic,2048,64,,1,0.293446,19.5151,6.169115,21.022995,0,
2026-05-31T23:49:58,4,sycl_basic,2048,64,,2,0.293308,19.5243,6.509612,22.193774,0,
2026-05-31T23:49:59,4,sycl_basic,2048,64,,3,0.293437,19.5157,6.133335,20.901709,0,
2026-05-31T23:50:00,4,sycl_basic,2048,128,,1,0.293079,19.5395,6.697911,22.85361,0,
2026-05-31T23:50:01,4,sycl_basic,2048,128,,2,0.29346,19.5142,6.320001,21.536166,0,
2026-05-31T23:50:02,4,sycl_basic,2048,128,,3,0.293612,19.504,6.082312,20.715475,0,
2026-05-31T23:50:04,4,sycl_basic,3072,32,,1,0.95558,20.2258,19.880212,20.804341,0,
2026-05-31T23:50:06,4,sycl_basic,3072,32,,2,0.956269,20.2112,18.681682,19.536011,0,
2026-05-31T23:50:08,4,sycl_basic,3072,32,,3,0.956824,20.1995,18.258943,19.082863,0,
2026-05-31T23:50:10,4,sycl_basic,3072,64,,1,0.955541,20.2266,18.481573,19.341478,0,
2026-05-31T23:50:12,4,sycl_basic,3072,64,,2,0.956053,20.2158,18.064816,18.895203,0,
2026-05-31T23:50:15,4,sycl_basic,3072,64,,3,0.956383,20.2088,18.333479,19.169595,0,
2026-05-31T23:50:17,4,sycl_basic,3072,128,,1,0.95663,20.2036,18.143334,18.965885,0,
2026-05-31T23:50:19,4,sycl_basic,3072,128,,2,0.957002,20.1957,17.868582,18.671417,0,
2026-05-31T23:50:21,4,sycl_basic,3072,128,,3,0.956336,20.2098,18.804616,19.663189,0,
2026-05-31T23:50:25,4,sycl_basic,4096,32,,1,2.23217,20.5239,41.135644,18.42852,0,
2026-05-31T23:50:29,4,sycl_basic,4096,32,,2,2.2328,20.5182,40.75781,18.25414,0,
2026-05-31T23:50:33,4,sycl_basic,4096,32,,3,2.2339,20.5081,40.02236,17.915906,0,
2026-05-31T23:50:37,4,sycl_basic,4096,64,,1,2.23406,20.5066,40.647983,18.194702,0,
2026-05-31T23:50:41,4,sycl_basic,4096,64,,2,2.23391,20.508,40.636646,18.190841,0,
2026-05-31T23:50:45,4,sycl_basic,4096,64,,3,2.2327,20.5191,39.867476,17.856133,0,
2026-05-31T23:50:49,4,sycl_basic,4096,128,,1,2.23302,20.5162,39.653574,17.757855,0,
2026-05-31T23:50:53,4,sycl_basic,4096,128,,2,2.23387,20.5083,39.109657,17.507548,0,
2026-05-31T23:50:57,4,sycl_basic,4096,128,,3,2.23355,20.5113,39.926249,17.87569,0,
2026-05-31T23:51:04,4,sycl_basic,5120,32,,1,4.3334,20.6486,77.764167,17.945318,0,
2026-05-31T23:51:11,4,sycl_basic,5120,32,,2,4.33474,20.6422,76.43695,17.633564,0,
2026-05-31T23:51:18,4,sycl_basic,5120,32,,3,4.33496,20.6411,76.432678,17.631696,0,
2026-05-31T23:51:25,4,sycl_basic,5120,64,,1,4.33346,20.6483,76.15222,17.573071,0,
2026-05-31T23:51:32,4,sycl_basic,5120,64,,2,4.3345,20.6433,75.666481,17.456788,0,
2026-05-31T23:51:39,4,sycl_basic,5120,64,,3,4.33543,20.6389,80.923168,18.665559,0,
2026-05-31T23:51:46,4,sycl_basic,5120,128,,1,4.33555,20.6383,74.89078,17.273663,0,
2026-05-31T23:51:53,4,sycl_basic,5120,128,,2,4.33381,20.6466,74.000019,17.07503,0,
2026-05-31T23:52:00,4,sycl_basic,5120,128,,3,4.3349,20.6414,74.90645,17.279845,0,
2026-05-31T23:52:11,4,sycl_basic,6144,32,,1,7.45647,20.7362,129.374031,17.350564,0,
2026-05-31T23:52:22,4,sycl_basic,6144,32,,2,7.45601,20.7375,129.602581,17.382295,0,
2026-05-31T23:52:33,4,sycl_basic,6144,32,,3,7.45596,20.7376,127.937658,17.159103,0,
2026-05-31T23:52:44,4,sycl_basic,6144,64,,1,7.45565,20.7385,128.545842,17.241409,0,
2026-05-31T23:52:55,4,sycl_basic,6144,64,,2,7.45573,20.7383,127.639914,17.119714,0,
2026-05-31T23:53:06,4,sycl_basic,6144,64,,3,7.45747,20.7334,127.439958,17.088889,0,
2026-05-31T23:53:17,4,sycl_basic,6144,128,,1,7.45747,20.7334,131.866441,17.682468,0,
2026-05-31T23:53:28,4,sycl_basic,6144,128,,2,7.45678,20.7353,129.264448,17.335163,0,
2026-05-31T23:53:39,4,sycl_basic,6144,128,,3,7.45636,20.7365,126.451819,16.958921,0,
2026-05-31T23:53:55,4,sycl_basic,7168,32,,1,11.8267,20.7606,200.963103,16.992333,0,
2026-05-31T23:54:12,4,sycl_basic,7168,32,,2,11.8267,20.7606,200.18438,16.926541,0,
2026-05-31T23:54:28,4,sycl_basic,7168,32,,3,11.826,20.7617,200.01311,16.912953,0,
2026-05-31T23:54:45,4,sycl_basic,7168,64,,1,11.827,20.76,203.951565,17.244563,0,
2026-05-31T23:55:02,4,sycl_basic,7168,64,,2,11.8277,20.7588,200.610094,16.961025,0,
2026-05-31T23:55:18,4,sycl_basic,7168,64,,3,11.8274,20.7594,199.277918,16.848899,0,
2026-05-31T23:55:35,4,sycl_basic,7168,128,,1,11.8256,20.7624,196.402303,16.608164,0,
2026-05-31T23:55:51,4,sycl_basic,7168,128,,2,11.8262,20.7615,199.308129,16.853147,0,
2026-05-31T23:56:08,4,sycl_basic,7168,128,,3,11.8266,20.7608,196.480409,16.61345,0,
2026-05-31T23:56:32,4,sycl_basic,8192,32,,1,17.5794,20.8485,292.337817,16.6296,0,
2026-05-31T23:56:55,4,sycl_basic,8192,32,,2,17.5796,20.8482,288.551972,16.414007,0,
2026-05-31T23:57:19,4,sycl_basic,8192,32,,3,17.5791,20.8488,289.075505,16.444245,0,
2026-05-31T23:57:42,4,sycl_basic,8192,64,,1,17.5804,20.8473,290.102276,16.501439,0,
2026-05-31T23:58:06,4,sycl_basic,8192,64,,2,17.5799,20.8479,289.444794,16.464506,0,
2026-05-31T23:58:30,4,sycl_basic,8192,64,,3,17.5795,20.8483,286.330469,16.287729,0,
2026-05-31T23:58:53,4,sycl_basic,8192,128,,1,17.5794,20.8485,288.355281,16.40306,0,
2026-05-31T23:59:17,4,sycl_basic,8192,128,,2,17.58,20.8477,284.834986,16.202182,0,
2026-05-31T23:59:41,4,sycl_basic,8192,128,,3,17.5789,20.8491,290.528463,16.527106,0,
2026-05-31T23:59:42,5,sycl_block,1024,32,,1,0.572079,1.25127,12.00916,20.992138,0,
2026-05-31T23:59:42,5,sycl_block,1024,32,,2,0.0279131,25.6449,0.494619,17.719964,0,
2026-05-31T23:59:43,5,sycl_block,1024,32,,3,0.037523,19.077,0.654507,17.442807,0,
2026-05-31T23:59:43,5,sycl_block,1024,64,,1,0.0415301,17.2363,0.664257,15.994579,0,
